batch_number,feature,offer,offer_label,weight,reason,customer_id
1,Balance,cashback_bonus,Cashback bonus,0.45,initialize,
1,Balance,fee_waiver,Fee waiver,0.35,initialize,
1,Balance,rate_bonus,Rate bonus,0.5,initialize,
1,Balance,credit_limit_review,Credit limit review,0.1,initialize,
1,Balance,product_bundle,Product bundle,0.1,initialize,
1,Balance,advisor_callback,Advisor callback,0.2,initialize,
1,NumOfProducts,cashback_bonus,Cashback bonus,0.15,initialize,
1,NumOfProducts,fee_waiver,Fee waiver,0.15,initialize,
1,NumOfProducts,rate_bonus,Rate bonus,0.1,initialize,
1,NumOfProducts,credit_limit_review,Credit limit review,0.1,initialize,
1,NumOfProducts,product_bundle,Product bundle,0.5,initialize,
1,NumOfProducts,advisor_callback,Advisor callback,0.15,initialize,
1,HasCrCard,cashback_bonus,Cashback bonus,0.1,initialize,
1,HasCrCard,fee_waiver,Fee waiver,0.2,initialize,
1,HasCrCard,rate_bonus,Rate bonus,0.1,initialize,
1,HasCrCard,credit_limit_review,Credit limit review,0.55,initialize,
1,HasCrCard,product_bundle,Product bundle,0.15,initialize,
1,HasCrCard,advisor_callback,Advisor callback,0.15,initialize,
1,IsActiveMember,cashback_bonus,Cashback bonus,0.3,initialize,
1,IsActiveMember,fee_waiver,Fee waiver,0.3,initialize,
1,IsActiveMember,rate_bonus,Rate bonus,0.3,initialize,
1,IsActiveMember,credit_limit_review,Credit limit review,0.25,initialize,
1,IsActiveMember,product_bundle,Product bundle,0.25,initialize,
1,IsActiveMember,advisor_callback,Advisor callback,0.5,initialize,
